"variable","storage","data_type","unit","source_group","role","required_for","description","privacy"
"case","input","integer","0/1","Matched health records","outcome","All modules","Indicator equal to 1 on a case day and 0 on a matched referent day.","Restricted at row level"
"global_id","input","character",,"Matched health records","matched-set identifier","All model modules","Pseudonymous identifier for a matched case-control stratum; repeated across its case and referent days.","Restricted at row level"
"time","input","Date","YYYY-MM-DD","Matched health records","calendar time","Descriptive and subgroup modules","Calendar date of the case or matched referent day.","Restricted at row level"
"holiday","input","integer","0/1","Matched health records","covariate","All model modules","Public-holiday indicator used as an adjustment covariate.","Restricted at row level"
"outbreak_effect","input","integer","count","Matched health records","covariate","All model modules","Precomputed local outbreak adjustment covariate used in the analysis.","Restricted at row level"
"province","input","character",,"Matched health records","geographic grouping","Descriptive module","Province containing the record.","Restricted at row level"
"age","input","numeric","years","Matched health records","subgroup variable","Descriptive and subgroup modules","Age at disease onset.","Restricted at row level"
"gender","input","character",,"Matched health records","subgroup variable","Descriptive and subgroup modules","Recorded sex category, coded M or F in the analytical dataset.","Restricted at row level"
"longitude","input","numeric","decimal degrees","Matched health records","spatial coordinate","Spatial module","Restricted record longitude in WGS84.","Restricted at row level"
"latitude","input","numeric","decimal degrees","Matched health records","spatial coordinate","Spatial module","Restricted record latitude in WGS84.","Restricted at row level"
"county_id","derived","integer",,"Spatial join","spatial index","Spatial model after geographic assignment","Sequential county index created after geographic assignment.","Restricted at row level"
"year","derived","integer","year","Derived from time","temporal grouping","Derived temporal analyses","Calendar year derived from time.","Restricted at row level"
"month","derived","integer","1-12","Derived from time","temporal grouping","Derived temporal analyses","Calendar month derived from time.","Restricted at row level"
"season","derived","character",,"Derived from time","temporal grouping","Derived temporal analyses","Season derived from calendar month.","Restricted at row level"
"t2m","input","numeric","deg C","ERA5-Land-derived meteorology","current-day exposure","Environmental model modules","Temperature on the case or referent day (lag 0).","Restricted at row level"
"t2m_lag1","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 1 day(s) before the case or referent day.","Restricted at row level"
"t2m_lag2","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 2 day(s) before the case or referent day.","Restricted at row level"
"t2m_lag3","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 3 day(s) before the case or referent day.","Restricted at row level"
"t2m_lag4","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 4 day(s) before the case or referent day.","Restricted at row level"
"t2m_lag5","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 5 day(s) before the case or referent day.","Restricted at row level"
"t2m_lag6","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 6 day(s) before the case or referent day.","Restricted at row level"
"t2m_lag7","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 7 day(s) before the case or referent day.","Restricted at row level"
"t2m_lag8","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 8 day(s) before the case or referent day.","Restricted at row level"
"t2m_lag9","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 9 day(s) before the case or referent day.","Restricted at row level"
"t2m_lag10","input","numeric","deg C","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Temperature 10 day(s) before the case or referent day.","Restricted at row level"
"t2m_mavg1","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 1, recomputed by the public workflow.","Restricted at row level"
"t2m_mavg2","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 2, recomputed by the public workflow.","Restricted at row level"
"t2m_mavg3","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 3, recomputed by the public workflow.","Restricted at row level"
"t2m_mavg4","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 4, recomputed by the public workflow.","Restricted at row level"
"t2m_mavg5","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 5, recomputed by the public workflow.","Restricted at row level"
"t2m_mavg6","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 6, recomputed by the public workflow.","Restricted at row level"
"t2m_mavg7","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 7, recomputed by the public workflow.","Restricted at row level"
"t2m_mavg8","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 8, recomputed by the public workflow.","Restricted at row level"
"t2m_mavg9","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 9, recomputed by the public workflow.","Restricted at row level"
"t2m_mavg10","derived","numeric","deg C","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Temperature mean from lag 0 through lag 10, recomputed by the public workflow.","Restricted at row level"
"rh","input","numeric","%","ERA5-Land-derived meteorology","current-day exposure","Environmental model modules","Relative humidity on the case or referent day (lag 0).","Restricted at row level"
"rh_lag1","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 1 day(s) before the case or referent day.","Restricted at row level"
"rh_lag2","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 2 day(s) before the case or referent day.","Restricted at row level"
"rh_lag3","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 3 day(s) before the case or referent day.","Restricted at row level"
"rh_lag4","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 4 day(s) before the case or referent day.","Restricted at row level"
"rh_lag5","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 5 day(s) before the case or referent day.","Restricted at row level"
"rh_lag6","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 6 day(s) before the case or referent day.","Restricted at row level"
"rh_lag7","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 7 day(s) before the case or referent day.","Restricted at row level"
"rh_lag8","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 8 day(s) before the case or referent day.","Restricted at row level"
"rh_lag9","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 9 day(s) before the case or referent day.","Restricted at row level"
"rh_lag10","input","numeric","%","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Relative humidity 10 day(s) before the case or referent day.","Restricted at row level"
"rh_mavg1","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 1, recomputed by the public workflow.","Restricted at row level"
"rh_mavg2","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 2, recomputed by the public workflow.","Restricted at row level"
"rh_mavg3","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 3, recomputed by the public workflow.","Restricted at row level"
"rh_mavg4","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 4, recomputed by the public workflow.","Restricted at row level"
"rh_mavg5","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 5, recomputed by the public workflow.","Restricted at row level"
"rh_mavg6","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 6, recomputed by the public workflow.","Restricted at row level"
"rh_mavg7","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 7, recomputed by the public workflow.","Restricted at row level"
"rh_mavg8","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 8, recomputed by the public workflow.","Restricted at row level"
"rh_mavg9","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 9, recomputed by the public workflow.","Restricted at row level"
"rh_mavg10","derived","numeric","%","Derived from matched lag columns","cumulative moving-average exposure","Linear and moving-average B-DLNM modules","Relative humidity mean from lag 0 through lag 10, recomputed by the public workflow.","Restricted at row level"
"ssr","input","numeric","MJ/m2","ERA5-Land-derived meteorology","current-day exposure","Environmental model modules","Solar radiation on the case or referent day (lag 0).","Restricted at row level"
"ssr_lag1","input","numeric","MJ/m2","ERA5-Land-derived meteorology","single-day lagged exposure","Environmental model modules","Solar radiation 1 day(s) before the case or referent day.","Restricted at row level"
