variable,exposure,exposure_type,window,term,coefficient,coefficient_sd,RR,lower_95_CrI,upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,model_key,specification_order,status,error_message
t2m,Temperature,lag,0,t2m,0.00177009914886658,0.000702227956489408,1.00177166669914,1.00039317705084,1.0031520558479,128557,29147,144784.357484382,144783.134360945,3,0.01,7.81,t2m__lag__00,1,ok,
t2m,Temperature,lag,1,t2m_lag1,0.00119316156930691,0.000704209750436704,1.00119387366976,0.999812293712005,1.00257736275646,128557,29147,144787.87400815,144786.64935141,3,0.01,6.64,t2m__lag__01,2,ok,
t2m,Temperature,lag,2,t2m_lag2,0.000583321939200028,0.000706784086369755,1.00058349210453,0.999197710449212,1.00197119569457,128557,29147,144790.094766619,144788.869841847,3,0.01,6.38,t2m__lag__02,3,ok,
t2m,Temperature,lag,3,t2m_lag3,0.000100979666910518,0.000710338880717479,1.00010098476553,0.99870890974468,1.00149500016308,128557,29147,144790.778939248,144789.554896996,3,0.01,6.17,t2m__lag__03,4,ok,
t2m,Temperature,lag,4,t2m_lag4,-0.000277132354258224,0.000713519820373885,0.999722906043366,0.99832513020237,1.00112263893541,128557,29147,144790.666296187,144789.445774433,3,0.01,6.93,t2m__lag__04,5,ok,
t2m,Temperature,lag,5,t2m_lag5,-0.000467244172506354,0.000717453600878956,0.999532864969053,0.998127655495488,1.00094005275492,128557,29147,144790.402168302,144789.182996534,3,0.01,6.6,t2m__lag__05,6,ok,
t2m,Temperature,lag,6,t2m_lag6,-0.000679572459469118,0.000720067659278483,0.999320658397597,0.997910632044646,1.00073267708021,128557,29147,144789.945900428,144788.727396922,3,0.01,6.43,t2m__lag__06,7,ok,
t2m,Temperature,lag,7,t2m_lag7,-0.00058134577825398,0.000721770174406363,0.999418823170462,0.998005326499068,1.00083432180119,128557,29147,144790.182948305,144788.966935588,3,0.01,6.56,t2m__lag__07,8,ok,
t2m,Temperature,lag,8,t2m_lag8,-8.78032991455065e-05,0.000723630296948646,0.999912200555451,0.998494364062271,1.00133205033682,128557,29147,144790.793376446,144789.577986849,3,0.01,6.42000000000001,t2m__lag__08,9,ok,
t2m,Temperature,lag,9,t2m_lag9,-7.37288083408488e-05,0.000726702765894377,0.999926273909561,0.998502401658511,1.00135217660991,128557,29147,144790.797152136,144789.583659006,3,0.01,6.40000000000001,t2m__lag__09,10,ok,
t2m,Temperature,lag,10,t2m_lag10,-0.000352265275119156,0.000729630458149846,0.999647796763008,0.99821859035261,1.00107904944436,128557,29147,144790.587708212,144789.374088676,3,0.01,6.66,t2m__lag__10,11,ok,
t2m,Temperature,mavg,1,t2m_mavg1,0.001509853841611,0.000709679196654422,1.0015109942448,1.0001182503165,1.00290567769044,128557,29147,144786.200751065,144784.977032638,3,0.01,6.2,t2m__mavg__01,12,ok,
t2m,Temperature,mavg,2,t2m_mavg2,0.00122620618322537,0.000716554612698811,1.00122695828141,0.999821129656014,1.00263476362294,128557,29147,144787.814580442,144786.590551145,3,0.01,6.18000000000001,t2m__mavg__02,13,ok,
t2m,Temperature,mavg,3,t2m_mavg3,0.000962532020815179,0.000722947346609088,1.00096299540342,0.999545007516583,1.00238299490141,128557,29147,144788.984252805,144787.76037652,3,0.01,6.42,t2m__mavg__03,14,ok,
t2m,Temperature,mavg,4,t2m_mavg4,0.000724980882640273,0.000728808841681652,1.0007252437448,0.999296106875487,1.00215642448923,128557,29147,144789.779358161,144788.556163765,3,0.01,6.22,t2m__mavg__04,15,ok,
t2m,Temperature,mavg,5,t2m_mavg5,0.000531809655110018,0.000734236634998032,1.00053195109094,0.999092456500604,1.00197351971084,128557,29147,144790.253760502,144789.031317552,3,0.01,6.56,t2m__mavg__05,16,ok,
t2m,Temperature,mavg,6,t2m_mavg6,0.000359816228480575,0.00073914166578434,1.0003598809701,0.998911026090256,1.00181083731995,128557,29147,144790.549722864,144789.32805796,3,0.01,6.70999999999999,t2m__mavg__06,17,ok,
t2m,Temperature,mavg,7,t2m_mavg7,0.000241528023060002,0.000743488708824706,1.0002415571933,0.998784359890895,1.00170088050413,128557,29147,144790.68684865,144789.466224911,3,0.01,6.92,t2m__mavg__07,18,ok,
t2m,Temperature,mavg,8,t2m_mavg8,0.000206534331486467,0.000747375135383873,1.00020655566117,0.998741798012946,1.0016734615268,128557,29147,144790.717687635,144789.497714407,3,0.01,6.43000000000001,t2m__mavg__08,19,ok,
t2m,Temperature,mavg,9,t2m_mavg9,0.000179785374434536,0.000750947399433179,1.00017980153679,0.998708087238227,1.00165368457932,128557,29147,144790.738009956,144789.518603424,3,0.01,6.38,t2m__mavg__09,20,ok,
t2m,Temperature,mavg,10,t2m_mavg10,0.000130702372570398,0.000754342431707901,1.0001307109145,0.998652420477601,1.00161118964153,128557,29147,144790.767645999,144789.54863074,3,0.01,6.39000000000002,t2m__mavg__10,21,ok,
rh,Relative humidity,lag,0,rh,0.000222952428694108,0.000488722516984382,1.00022297728443,0.999264886385048,1.00118198682536,128557,29147,144790.549002176,144789.330754933,3,0.01,6.59,rh__lag__00,22,ok,
rh,Relative humidity,lag,1,rh_lag1,3.91641763549841e-05,0.000489057033332945,1.00003916494328,0.999080594763143,1.00099865485404,128557,29147,144790.788146219,144789.578107294,3,0.01,6.45000000000002,rh__lag__01,23,ok,
rh,Relative humidity,lag,2,rh_lag2,-0.000725644428874761,0.000486398466017425,0.999274618787373,0.998321985874941,1.00022816076245,128557,29147,144788.723933444,144787.504992847,3,0.01,6.46000000000001,rh__lag__02,24,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.00130190112202406,0.000485291594663579,0.998698945983586,0.997749027450768,0.999649768924586,128557,29147,144783.87730516,144782.651417476,3,0.01,6.39000000000002,rh__lag__03,25,ok,
rh,Relative humidity,lag,4,rh_lag4,-0.00134604795120505,0.000485396835450219,0.998654857565004,0.997704775073983,0.999605844816438,128557,29147,144783.394748491,144782.1707697,3,0.01,6.36000000000001,rh__lag__04,26,ok,
rh,Relative humidity,lag,5,rh_lag5,-0.00103818624695012,0.000485965400416537,0.998962352481942,0.998010864769523,0.999914747354936,128557,29147,144786.452131245,144785.233566481,3,0.01,6.56999999999999,rh__lag__05,27,ok,
rh,Relative humidity,lag,6,rh_lag6,-0.000954437442955984,0.000483978795409584,0.999046017887587,0.998098338605356,0.999994597003564,128557,29147,144787.10837627,144785.894717465,3,0.01,6.38999999999999,rh__lag__06,28,ok,
rh,Relative humidity,lag,7,rh_lag7,-0.000630273553803182,0.000485930613263422,0.999369925026851,0.998418117217243,1.00032264023652,128557,29147,144789.246877372,144788.029477378,3,0.01,6.34,rh__lag__07,29,ok,
rh,Relative humidity,lag,8,rh_lag8,-0.000568355804234483,0.000486384939376205,0.999431805679331,0.998479049400712,1.00038547111274,128557,29147,144789.551199275,144788.335429044,3,0.01,6.45000000000002,rh__lag__08,30,ok,
rh,Relative humidity,lag,9,rh_lag9,-0.000463504137232375,0.000485019387385951,0.999536603264216,0.998586421006338,1.00048768967556,128557,29147,144789.982268015,144788.768404238,3,0.01,6.38999999999999,rh__lag__09,31,ok,
rh,Relative humidity,lag,10,rh_lag10,-0.000441397601776391,0.000485973996319018,0.999558699799814,0.99860662724986,1.00051168008645,128557,29147,144790.065947351,144788.848002383,3,0.01,6.36000000000001,rh__lag__10,32,ok,
rh,Relative humidity,mavg,1,rh_mavg1,0.000153867934407734,0.000529852442665716,1.00015387977269,0.999115271461371,1.00119356777649,128557,29147,144790.686252228,144789.474271726,3,0.01,6.37000000000001,rh__mavg__01,33,ok,
rh,Relative humidity,mavg,2,rh_mavg2,-0.000208012596809683,0.000563206623838999,0.99979200903631,0.998688455912936,1.00089678161999,128557,29147,144790.70755059,144789.49540984,3,0.01,6.38,rh__mavg__02,34,ok,
rh,Relative humidity,mavg,3,rh_mavg3,-0.000653867641374802,0.000590893487681312,0.999346346083486,0.998189090526843,1.00050494334263,128557,29147,144789.710089301,144788.494268639,3,0.01,6.75,rh__mavg__03,35,ok,
rh,Relative humidity,mavg,4,rh_mavg4,-0.000998700288763074,0.000614828870963576,0.999001798246394,0.997798109014535,1.00020693957646,128557,29147,144788.367555211,144787.14780554,3,0.01,6.63999999999999,rh__mavg__04,36,ok,
rh,Relative humidity,mavg,5,rh_mavg5,-0.00118753602435989,0.000635922378588986,0.998813168817509,0.997568444308975,1.0000594464756,128557,29147,144787.558685721,144786.338142736,3,0.01,6.40000000000001,rh__mavg__05,37,ok,
rh,Relative humidity,mavg,6,rh_mavg6,-0.00132883560367396,0.000654561227360094,0.99867204690741,0.997391044020355,0.999954695090027,128557,29147,144786.954585521,144785.734206451,3,0.01,8.75999999999999,rh__mavg__06,38,ok,
rh,Relative humidity,mavg,7,rh_mavg7,-0.00137701589975828,0.000672018448879106,0.998623931751609,0.99730885024136,0.999940747403714,128557,29147,144786.88707699,144785.666017714,3,0.01,8.01999999999998,rh__mavg__07,39,ok,
rh,Relative humidity,mavg,8,rh_mavg8,-0.00141135712733858,0.000688339215604747,0.998589638368743,0.99724268634759,0.999938409722891,128557,29147,144786.888594417,144785.667317224,3,0.01,8.31,rh__mavg__08,40,ok,
rh,Relative humidity,mavg,9,rh_mavg9,-0.00142473683661755,0.000703470954802879,0.998576277619075,0.997199754429914,0.999954700983465,128557,29147,144786.99319431,144785.7722744,3,0.01,7.85999999999996,rh__mavg__09,41,ok,
rh,Relative humidity,mavg,10,rh_mavg10,-0.00143453152475762,0.000717296247718278,0.998566496923751,0.997162953735549,0.999972015689869,128557,29147,144787.09693488,144785.876613221,3,0.01,7.90000000000003,rh__mavg__10,42,ok,
ssr,Solar radiation,lag,0,ssr,0.00198211849571872,0.000804189105226341,1.00198408419112,1.00040526551764,1.00356539452919,128557,29147,144784.654305942,144783.433701921,3,0.01,6.67999999999995,ssr__lag__00,43,ok,
ssr,Solar radiation,lag,1,ssr_lag1,0.00135285117827698,0.000804362817957311,1.00135376669424,0.999775600648682,1.00293442390986,128557,29147,144787.923354413,144786.701608988,3,0.01,6.19999999999999,ssr__lag__01,44,ok,
ssr,Solar radiation,lag,2,ssr_lag2,0.000900336219790533,0.000801469794709199,1.00090074164411,0.999328958688479,1.00247499676114,128557,29147,144789.50732802,144788.284619972,3,0.01,6.28000000000003,ssr__lag__02,45,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.00187009354999785,0.000800292587586817,1.00187184326548,1.00030084440178,1.00344530942731,128557,29147,144785.273281172,144784.050175552,3,0.01,6.19,ssr__lag__03,46,ok,
ssr,Solar radiation,lag,4,ssr_lag4,0.00110972222737743,0.00080317259532577,1.00111033819692,0.999534888622727,1.00268827097014,128557,29147,144788.852416631,144787.635942971,3,0.01,6.21999999999997,ssr__lag__04,47,ok,
ssr,Solar radiation,lag,5,ssr_lag5,9.29133058143251e-05,0.000806335391918687,1.00009291762239,0.998512876437738,1.0016754590563,128557,29147,144790.787130743,144789.572066274,3,0.01,6.31,ssr__lag__05,48,ok,
ssr,Solar radiation,lag,6,ssr_lag6,-0.000697999281623851,0.000807137774124376,0.999302244263207,0.997721882449666,1.00088510932283,128557,29147,144790.08322589,144788.87417174,3,0.01,6.17000000000002,ssr__lag__06,49,ok,
ssr,Solar radiation,lag,7,ssr_lag7,-0.000498988943475992,0.000806625875127364,0.999501135530802,0.997921460873858,1.00108331075717,128557,29147,144790.440869774,144789.231349832,3,0.01,6.26999999999998,ssr__lag__07,50,ok,
ssr,Solar radiation,lag,8,ssr_lag8,0.000408187743429651,0.000808633629098201,1.00040827106338,0.998823230331061,1.00199582710977,128557,29147,144790.533234017,144789.318431559,3,0.01,6.19999999999999,ssr__lag__08,51,ok,
ssr,Solar radiation,lag,9,ssr_lag9,0.00129370351988211,0.000807114033541106,1.00129454071527,0.999711074693571,1.0028805148263,128557,29147,144788.184920914,144786.971530706,3,0.01,6.25,ssr__lag__09,52,ok,
ssr,Solar radiation,lag,10,ssr_lag10,0.00030067293654175,0.000807111526622895,1.00030071814318,0.998718828679397,1.00188511318871,128557,29147,144790.653375709,144789.439262736,3,0.01,6.24000000000001,ssr__lag__10,53,ok,
ssr,Solar radiation,mavg,1,ssr_mavg1,0.00205475297579338,0.000892599436456747,1.0020568654273,1.00030450035963,1.0038123003502,128557,29147,144785.42758018,144784.205411948,3,0.01,6.25,ssr__mavg__01,54,ok,
ssr,Solar radiation,mavg,2,ssr_mavg2,0.00200954899452102,0.000958660673657257,1.0020115694913,1.00012971890583,1.00389696098577,128557,29147,144786.333672627,144785.10840328,3,0.01,6.19999999999999,ssr__mavg__02,55,ok,
ssr,Solar radiation,mavg,3,ssr_mavg3,0.00242650817532006,0.0010118049139944,1.00242945452892,1.00044255698952,1.00442029809228,128557,29147,144784.961293423,144783.734225246,3,0.01,6.35000000000002,ssr__mavg__03,56,ok,
ssr,Solar radiation,mavg,4,ssr_mavg4,0.0025045438853381,0.00105737738922962,1.00250768287541,1.00043122464719,1.00458845093386,128557,29147,144785.098817733,144783.871917693,3,0.01,6.25,ssr__mavg__04,57,ok,
ssr,Solar radiation,mavg,5,ssr_mavg5,0.00227624048414888,0.00109738266140545,1.00227883308628,1.0001243896601,1.00443791757193,128557,29147,144786.414622922,144785.189172201,3,0.01,6.26000000000005,ssr__mavg__05,58,ok,
ssr,Solar radiation,mavg,6,ssr_mavg6,0.00188191422945076,0.00113274682653006,1.00188368614139,0.999660767601231,1.00411154773515,128557,29147,144787.971456645,144786.748165131,3,0.01,6.21999999999997,ssr__mavg__06,59,ok,
ssr,Solar radiation,mavg,7,ssr_mavg7,0.00160787339200065,0.00116370163485156,1.0016091667135,0.999326197009429,1.00389735189213,128557,29147,144788.832845716,144787.611406002,3,0.01,6.22000000000003,ssr__mavg__07,60,ok,
ssr,Solar radiation,mavg,8,ssr_mavg8,0.00159743428362484,0.0011917325616152,1.00159871086143,0.999260838241262,1.00394205318295,128557,29147,144788.945522839,144787.725594884,3,0.01,6.28999999999996,ssr__mavg__08,61,ok,
ssr,Solar radiation,mavg,9,ssr_mavg9,0.00178799723485674,0.00121515270234039,1.00178959665502,0.999405380161315,1.00417950102982,128557,29147,144788.569871639,144787.350600251,3,0.01,6.31,ssr__mavg__09,62,ok,
ssr,Solar radiation,mavg,10,ssr_mavg10,0.00174542902040273,0.00123585319208922,1.00174695316827,0.999322273243061,1.00417751616304,128557,29147,144788.741815961,144787.523833366,3,0.01,6.11000000000001,ssr__mavg__10,63,ok,
uv,Wind speed,lag,0,uv,-0.0221322383222569,0.00519403526437788,0.978110882756616,0.968199394975846,0.988123834708227,128557,29147,144772.643486593,144771.434371241,3,0.01,6.19,uv__lag__00,64,ok,
uv,Wind speed,lag,1,uv_lag1,-0.0178222559819627,0.00517053301146912,0.982335621122146,0.972426136621181,0.992346087958334,128557,29147,144778.95905119,144777.745873305,3,0.01,6.06999999999999,uv__lag__01,65,ok,
uv,Wind speed,lag,2,uv_lag2,-0.0159381261421947,0.00514682430488682,0.984188213692991,0.974305335653394,0.994171338811617,128557,29147,144781.258759596,144780.043401466,3,0.01,6.22000000000003,uv__lag__02,66,ok,
uv,Wind speed,lag,3,uv_lag3,-0.0233371253651326,0.00518850852778522,0.976933079330021,0.96704400675516,0.986923278353549,128557,29147,144770.55005825,144769.339837418,3,0.01,6.44999999999999,uv__lag__03,67,ok,
uv,Wind speed,lag,4,uv_lag4,-0.006563869011046,0.00513719031235605,0.993457626121027,0.983500247274227,1.00351581773971,128557,29147,144789.208300899,144787.990079999,3,0.01,6.17000000000002,uv__lag__04,68,ok,
uv,Wind speed,lag,5,uv_lag5,-0.00797852229207276,0.00512204972686796,0.992053221637592,0.982139077544965,1.00206744345016,128557,29147,144788.419896078,144787.20050609,3,0.01,6.20000000000005,uv__lag__05,69,ok,
uv,Wind speed,lag,6,uv_lag6,-0.000437247607971177,0.00513194271029769,0.999562847970833,0.989554459266233,1.00967246186918,128557,29147,144790.799461271,144789.584820094,3,0.01,6.29000000000002,uv__lag__06,70,ok,
uv,Wind speed,lag,7,uv_lag7,0.00669853280698727,0.00513667241717434,1.00672101815612,0.996631713084786,1.01691246134179,128557,29147,144789.065248349,144787.861675133,3,0.01,6.22999999999996,uv__lag__07,71,ok,
uv,Wind speed,lag,8,uv_lag8,-0.00337407560587519,0.00515998434755503,0.996631610190655,0.986598319842076,1.00676693489027,128557,29147,144790.397108675,144789.192681778,3,0.01,6.20999999999998,uv__lag__08,72,ok,
