exposure_type,window,window_label,variable_1,exposure_1,term_1,variable_2,exposure_2,term_2,spearman_rho,exposure_1_median,exposure_1_IQR,exposure_2_median,exposure_2_IQR,exposure_1_coefficient,exposure_1_RR,exposure_1_lower_95_CrI,exposure_1_upper_95_CrI,exposure_2_coefficient,exposure_2_RR,exposure_2_lower_95_CrI,exposure_2_upper_95_CrI,interaction_coefficient,interaction_coefficient_sd,interaction_ratio,interaction_lower_95_CrI,interaction_upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,model_key,specification_order,status,error_message
lag,3,Single lag 3,PM10,PM10,PM10_lag3,O3,O3,O3_lag3,-0.0959286594185796,68.5000010207295,56.8000008463855,84.8000012636185,56.6000008434055,0.00727973262479192,1.00730629429316,0.992440667518599,1.02239459120652,0.0188193525131679,1.0189975526427,1.00217863126923,1.03609873519231,-0.0192857723568995,0.0110974353743805,0.980899008364519,0.959784266144308,1.002478263627,128557,29147,144787.021988805,144785.323417752,3,0.01,7.65,lag__03__PM10__O3,1,ok,
lag,3,Single lag 3,PM25,PM2.5,PM25_lag3,O3,O3,O3_lag3,-0.215308740195271,41.9000006243587,37.0000005513429,84.8000012636185,56.6000008434055,0.00129617818954043,1.00129701859155,0.986794753316296,1.01601241400724,0.0176120719489344,1.01776807901153,1.00082118582469,1.03500193374746,-0.0147602361973699,0.0106369937197594,0.985348162105389,0.965008541908866,1.00611648329016,128557,29147,144789.509189963,144787.807254848,3,0.01,6.89,lag__03__PM25__O3,2,ok,
lag,3,Single lag 3,rh,Relative humidity,rh_lag3,O3,O3,O3_lag3,-0.414316065149729,75.85759547,17.18145366,84.8000012636185,56.6000008434055,-0.0189379644466192,0.981240232135538,0.963841120259938,0.998953430059467,0.0127523324652535,1.01283399019657,0.994557587650607,1.03144624746702,0.0292306332818499,0.0114372614240179,1.0296620414283,1.00682649295607,1.05301551659434,128557,29147,144780.904602659,144779.236841441,3,0.01,6.86,lag__03__rh__O3,3,ok,
lag,3,Single lag 3,rh,Relative humidity,rh_lag3,PM10,PM10,PM10_lag3,-0.364291942371412,75.85759547,17.18145366,68.5000010207295,56.8000008463855,-0.0211920630968919,0.979030910802262,0.962084694365221,0.99627561886823,0.00364770382000947,1.00365436478821,0.988472565649578,1.0190693389154,0.00227878653535313,0.0111096612518853,1.00228138494275,0.980682856745551,1.02435559843753,128557,29147,144787.635195809,144785.930319269,3,0.01,6.81,lag__03__rh__PM10,4,ok,
lag,3,Single lag 3,rh,Relative humidity,rh_lag3,PM25,PM2.5,PM25_lag3,-0.237301088536234,75.85759547,17.18145366,41.9000006243587,37.0000005513429,-0.0217400223552553,0.978494588705212,0.962144402229877,0.995122621800515,-0.000858806120149898,0.99914156254828,0.985765216480583,1.01269941904305,-0.00240466690446358,0.0104531755049723,0.997598221990923,0.977357959778939,1.01825764301435,128557,29147,144787.815531358,144786.11588034,3,0.01,6.78,lag__03__rh__PM25,5,ok,
lag,3,Single lag 3,rh,Relative humidity,rh_lag3,sp,Surface pressure,sp_lag3,-0.189871248420705,75.85759547,17.18145366,100.3079193,2.07363911,-0.0218568493979328,0.978380280753398,0.96218590581947,0.994847220214232,0.000573895366726737,1.00057406007618,0.991909700490862,1.0093141031152,-0.000241063169966868,0.00613646683760124,0.999758965883425,0.987800953058082,1.01186173871309,128557,29147,144787.862432078,144786.180527458,3,0.01,6.7,lag__03__rh__sp,6,ok,
lag,3,Single lag 3,rh,Relative humidity,rh_lag3,ssr,Solar radiation,ssr_lag3,-0.557965196317219,75.85759547,17.18145366,12.947832,11.998729418,-0.0144608507865878,0.98564320513325,0.966903393847116,1.0047462176381,0.0145409021619699,1.01464713536414,0.992522901726925,1.0372645381938,0.0376707891669494,0.0150857060580209,1.03838932758656,1.00812202185152,1.06956536243571,128557,29147,144780.326148245,144778.648400887,3,0.01,6.81,lag__03__rh__ssr,7,ok,
lag,3,Single lag 3,rh,Relative humidity,rh_lag3,uv,Wind speed,uv_lag3,-0.0698882500118364,75.85759547,17.18145366,1.610432555,1.556368727,-0.0237861052658015,0.976494554464895,0.960037985736324,0.993233214763307,-0.0385806723217127,0.9621540824052,0.946880272151167,0.977674269358412,-0.00599982372228883,0.0112459670880421,0.994018139277162,0.97233775544886,1.01618193438597,128557,29147,144765.380532533,144763.69616901,3,0.01,6.76000000000001,lag__03__rh__uv,8,ok,
lag,3,Single lag 3,sp,Surface pressure,sp_lag3,O3,O3,O3_lag3,-0.253142023333835,100.3079193,2.07363911,84.8000012636185,56.6000008434055,0.0026296098281695,1.00263307028465,0.993874242430424,1.01146908808462,0.0137809586927543,1.01387635381236,0.997720314416309,1.03029400722156,-0.000230975593990105,0.00798702764150622,0.999769051078819,0.984232878607158,1.01555046291893,128557,29147,144791.690475412,144790.049073058,3,0.01,6.90000000000001,lag__03__sp__O3,9,ok,
lag,3,Single lag 3,sp,Surface pressure,sp_lag3,PM10,PM10,PM10_lag3,0.373847398704324,100.3079193,2.07363911,68.5000010207295,56.8000008463855,0.000914305420666169,1.00091472352528,0.992004429345463,1.00990505097808,0.00833476870940186,1.008369599596,0.993474731457249,1.0234877820828,0.000124401404607767,0.00715282710856133,1.00012440914278,0.986194597634127,1.0142509765902,128557,29147,144793.328028187,144791.656451207,3,0.01,6.95,lag__03__sp__PM10,10,ok,
