month_date,case_count,rolling_12_month_mean
2004-12-01,3,
2005-01-01,37,
2005-02-01,13,
2005-03-01,36,
2005-04-01,37,
2005-05-01,15,
2005-06-01,33,
2005-07-01,20,
2005-08-01,13,
2005-09-01,14,
2005-10-01,18,
2005-11-01,31,22.5
2005-12-01,52,26.5833333333333
2006-01-01,28,25.8333333333333
2006-02-01,22,26.5833333333333
2006-03-01,31,26.1666666666667
2006-04-01,48,27.0833333333333
2006-05-01,46,29.6666666666667
2006-06-01,34,29.75
2006-07-01,18,29.5833333333333
2006-08-01,11,29.4166666666667
2006-09-01,15,29.5
2006-10-01,21,29.75
2006-11-01,32,29.8333333333333
2006-12-01,53,29.9166666666667
2007-01-01,43,31.1666666666667
2007-02-01,21,31.0833333333333
2007-03-01,38,31.6666666666667
2007-04-01,64,33
2007-05-01,55,33.75
2007-06-01,41,34.3333333333333
2007-07-01,30,35.3333333333333
2007-08-01,18,35.9166666666667
2007-09-01,14,35.8333333333333
2007-10-01,32,36.75
2007-11-01,26,36.25
2007-12-01,53,36.25
2008-01-01,37,35.75
2008-02-01,20,35.6666666666667
2008-03-01,44,36.1666666666667
2008-04-01,44,34.5
2008-05-01,86,37.0833333333333
2008-06-01,46,37.5
2008-07-01,23,36.9166666666667
2008-08-01,17,36.8333333333333
2008-09-01,18,37.1666666666667
2008-10-01,16,35.8333333333333
2008-11-01,32,36.3333333333333
2008-12-01,33,34.6666666666667
2009-01-01,18,33.0833333333333
2009-02-01,19,33
2009-03-01,42,32.8333333333333
2009-04-01,50,33.3333333333333
2009-05-01,46,30
2009-06-01,45,29.9166666666667
2009-07-01,26,30.1666666666667
2009-08-01,18,30.25
2009-09-01,29,31.1666666666667
2009-10-01,17,31.25
2009-11-01,19,30.1666666666667
2009-12-01,17,28.8333333333333
2010-01-01,24,29.3333333333333
2010-02-01,6,28.25
2010-03-01,22,26.5833333333333
2010-04-01,31,25
2010-05-01,49,25.25
2010-06-01,36,24.5
2010-07-01,27,24.5833333333333
2010-08-01,24,25.0833333333333
2010-09-01,23,24.5833333333333
2010-10-01,21,24.9166666666667
2010-11-01,47,27.25
2010-12-01,77,32.25
2011-01-01,46,34.0833333333333
2011-02-01,26,35.75
2011-03-01,92,41.5833333333333
2011-04-01,176,53.6666666666667
2011-05-01,244,69.9166666666667
2011-06-01,236,86.5833333333333
2011-07-01,91,91.9166666666667
2011-08-01,41,93.3333333333333
2011-09-01,38,94.5833333333333
2011-10-01,81,99.5833333333333
2011-11-01,138,107.166666666667
2011-12-01,169,114.833333333333
2012-01-01,70,116.833333333333
2012-02-01,67,120.25
2012-03-01,106,121.416666666667
2012-04-01,147,119
2012-05-01,130,109.5
2012-06-01,88,97.1666666666667
2012-07-01,62,94.75
2012-08-01,42,94.8333333333333
2012-09-01,41,95.0833333333333
2012-10-01,46,92.1666666666667
2012-11-01,82,87.5
2012-12-01,85,80.5
2013-01-01,47,78.5833333333333
2013-02-01,27,75.25
2013-03-01,62,71.5833333333333
2013-04-01,84,66.3333333333333
2013-05-01,98,63.6666666666667
2013-06-01,81,63.0833333333333
2013-07-01,66,63.4166666666667
2013-08-01,32,62.5833333333333
2013-09-01,32,61.8333333333333
2013-10-01,36,61
2013-11-01,76,60.5
2013-12-01,119,63.3333333333333
2014-01-01,89,66.8333333333333
2014-02-01,39,67.8333333333333
2014-03-01,96,70.6666666666667
2014-04-01,106,72.5
2014-05-01,189,80.0833333333333
2014-06-01,192,89.3333333333333
2014-07-01,95,91.75
2014-08-01,39,92.3333333333333
2014-09-01,47,93.5833333333333
2014-10-01,78,97.0833333333333
2014-11-01,150,103.25
2014-12-01,221,111.75
2015-01-01,312,130.333333333333
2015-02-01,98,135.25
2015-03-01,140,138.916666666667
2015-04-01,216,148.083333333333
2015-05-01,276,155.333333333333
2015-06-01,213,157.083333333333
