variable,exposure,exposure_type,max_lag,lag_df,exposure_knots,exposure_minimum,exposure_maximum,basis_columns,n_rows,n_strata,compute_config,compute_cpo,model_size_mb,elapsed_seconds,DIC,effective_parameters_DIC,WAIC,effective_parameters_WAIC,CPO_valid,LPML,model_key,specification_order,posterior_samples,sampling_seconds,slice_window,status,error_message
t2m,Temperature,lag,10,3,10.05755;17.8358;23.86228,-11.9883344,36.17892354,12,128557,29147,TRUE,FALSE,349.977012634277,13.44,144750.684641881,16.1994717227353,144747.074820391,12.5869573909875,0,,t2m__lag,1,500,45.06,3,ok,
t2m,Temperature,mavg,10,3,9.990846;17.91871;23.81945,-9.7928257625,35.68524831,12,128557,29147,TRUE,FALSE,349.978477478027,11.73,144746.664910287,15.9628563546576,144743.041089236,12.3365749320446,0,,t2m__mavg,2,500,47.85,4,ok,
rh,Relative humidity,lag,10,3,66.95335;75.82061;84.06996,15.91384697,99.46646507,12,128557,29147,TRUE,FALSE,349.977836608887,11.67,144787.903378689,16.128165953327,144784.194837711,12.4167068264068,0,,rh__lag,3,500,45.32,3,ok,
rh,Relative humidity,mavg,10,3,69.02786;76.1666;81.64631,18.40329253,99.41670218,12,128557,29147,TRUE,FALSE,349.97834777832,12.33,144786.65075036,15.9168312162801,144782.979091832,12.2420593932916,0,,rh__mavg,4,500,43.37,4,ok,
ssr,Solar radiation,lag,10,3,6.851668;12.95199;18.72321,0.431284,30.307264,12,128557,29147,TRUE,FALSE,349.975830078125,11.51,144771.659923046,16.3493667732691,144767.940148787,12.6275071522099,0,,ssr__lag,5,500,44.94,3,ok,
ssr,Solar radiation,mavg,10,3,8.798943;12.7877;17.08335,0.445012,29.91132,12,128557,29147,TRUE,FALSE,349.975685119629,11.64,144790.847061004,16.318840457272,144787.136080275,12.6056281670334,0,,ssr__mavg,6,500,44.66,4,ok,
uv,Wind speed,lag,10,3,0.9209974;1.602409;2.475799,0.000244909,8.897020119,12,128557,29147,TRUE,FALSE,349.973724365234,11.69,144770.503353147,16.2774867895932,144766.798120496,12.5693126658832,0,,uv__lag,7,500,42.34,3,ok,
uv,Wind speed,mavg,10,3,1.232003;1.76445;2.30113,0.000244909,8.5528143585,12,128557,29147,TRUE,FALSE,349.975006103516,11.49,144769.831359376,16.0019863890193,144766.236938392,12.4031023826223,0,,uv__mavg,8,500,44.4,4,ok,
sp,Surface pressure,lag,10,3,99.30592;100.3137;101.3741,83.56582096,104.2058729,12,128557,29147,TRUE,FALSE,349.978446960449,11.57,144773.323378736,15.1575201339147,144769.842858524,11.6743501489476,0,,sp__lag,9,500,44.25,3,ok,
sp,Surface pressure,mavg,10,3,99.33494;100.3125;101.3838,83.56582096,104.0929507,12,128557,29147,TRUE,FALSE,349.979568481445,11.78,144758.392419534,14.5399022613128,144754.997665272,11.1428265266435,0,,sp__mavg,10,500,45.26,4,ok,
tp,Total precipitation,lag,10,3,0.001938433;0.3645997;4.325309,-3.44e-05,318.968156,12,128557,29147,TRUE,FALSE,349.980682373047,13.4400000000001,144797.930431287,14.7957902680209,144794.635542038,11.4884118670488,0,,tp__lag,11,500,50.63,3,ok,
tp,Total precipitation,mavg,10,3,0.3935922;2.313951;5.929666,-3.44e-05,224.7228056,12,128557,29147,TRUE,FALSE,349.977577209473,13.78,144798.900454557,14.5797241872933,144795.64651378,11.3153967014088,0,,tp__mavg,12,500,44.52,4,ok,
PM25,PM2.5,lag,10,3,27.2;42;64.2,2.10000003129244,404.300006024539,12,128557,29147,TRUE,FALSE,349.975288391113,13.62,144789.287652067,16.1558072930493,144785.527222132,12.3895544714555,0,,PM25__lag,13,500,49.23,3,ok,
PM25,PM2.5,mavg,10,3,29.17273;43.1;64.36,2.30000003427267,324.200004830956,12,128557,29147,TRUE,FALSE,349.97575378418,13.7800000000001,144789.842828607,15.9832389344228,144786.132520166,12.2673959646718,0,,PM25__mavg,14,500,49.39,4,ok,
PM10,PM10,lag,10,3,45.3;68.6;102.2,4.60000006854534,626.400009334087,12,128557,29147,TRUE,FALSE,349.975296020508,13.53,144783.662383523,16.037054944376,144779.978196784,12.3441520038423,0,,PM10__lag,15,500,50.9500000000001,3,ok,
PM10,PM10,mavg,10,3,48.1;70.76667;101.3,5.80000008642673,624.400009304285,12,128557,29147,TRUE,FALSE,349.978103637695,14.0100000000001,144777.003888276,15.4329685649718,144773.433658327,11.8544386033512,0,,PM10__mavg,16,500,49.77,4,ok,
O3,O3,lag,10,3,58.4;85.1;115,3.1000000461936,332.300004951656,12,128557,29147,TRUE,FALSE,349.974678039551,13.59,144797.524243103,16.254076955549,144793.833703058,12.5602939801063,0,,O3__lag,17,500,52.0200000000001,3,ok,
O3,O3,mavg,10,3,61.41;87.775;111.675,3.50000005215406,298.800004452467,12,128557,29147,TRUE,FALSE,349.977035522461,11.66,144798.285181816,16.1170561721665,144794.512699659,12.3411886911302,0,,O3__mavg,18,500,43.8900000000001,4,ok,
