variable,exposure_type,exposure_value,exposure_probability,lag_window,reference_value,RR,model_key,specification_order
t2m,lag,0.171520487,0.01,0,17.83579852,0.887570190623829,t2m__lag,1
t2m,lag,0.171520487,0.01,1,17.83579852,0.923857185145332,t2m__lag,1
t2m,lag,0.171520487,0.01,2,17.83579852,0.95945304825291,t2m__lag,1
t2m,lag,0.171520487,0.01,3,17.83579852,0.991918795393369,t2m__lag,1
t2m,lag,0.171520487,0.01,4,17.83579852,1.01854160085457,t2m__lag,1
t2m,lag,0.171520487,0.01,5,17.83579852,1.03645019346364,t2m__lag,1
t2m,lag,0.171520487,0.01,6,17.83579852,1.04358929873239,t2m__lag,1
t2m,lag,0.171520487,0.01,7,17.83579852,1.04130465552117,t2m__lag,1
t2m,lag,0.171520487,0.01,8,17.83579852,1.03199183853785,t2m__lag,1
t2m,lag,0.171520487,0.01,9,17.83579852,1.01814169199577,t2m__lag,1
t2m,lag,0.171520487,0.01,10,17.83579852,1.00220585145603,t2m__lag,1
t2m,lag,3.1816965228,0.04,0,17.83579852,0.922164712821263,t2m__lag,1
t2m,lag,3.1816965228,0.04,1,17.83579852,0.949114268481693,t2m__lag,1
t2m,lag,3.1816965228,0.04,2,17.83579852,0.975172910270659,t2m__lag,1
t2m,lag,3.1816965228,0.04,3,17.83579852,0.998506739832206,t2m__lag,1
t2m,lag,3.1816965228,0.04,4,17.83579852,1.01713767880959,t2m__lag,1
t2m,lag,3.1816965228,0.04,5,17.83579852,1.02901327458675,t2m__lag,1
t2m,lag,3.1816965228,0.04,6,17.83579852,1.03270620622304,t2m__lag,1
t2m,lag,3.1816965228,0.04,7,17.83579852,1.02930738672398,t2m__lag,1
t2m,lag,3.1816965228,0.04,8,17.83579852,1.02064041530217,t2m__lag,1
t2m,lag,3.1816965228,0.04,9,17.83579852,1.00857147257455,t2m__lag,1
t2m,lag,3.1816965228,0.04,10,17.83579852,0.994932738462691,t2m__lag,1
t2m,lag,4.659152603,0.07,0,17.83579852,0.93729794188925,t2m__lag,1
t2m,lag,4.659152603,0.07,1,17.83579852,0.959942478399409,t2m__lag,1
t2m,lag,4.659152603,0.07,2,17.83579852,0.9816874002253,t2m__lag,1
t2m,lag,4.659152603,0.07,3,17.83579852,1.00097249571796,t2m__lag,1
t2m,lag,4.659152603,0.07,4,17.83579852,1.01613743747331,t2m__lag,1
t2m,lag,4.659152603,0.07,5,17.83579852,1.02547387633883,t2m__lag,1
t2m,lag,4.659152603,0.07,6,17.83579852,1.02780856245004,t2m__lag,1
