variable,exposure,exposure_type,max_lag,lag_df,exposure_knots,exposure_minimum,exposure_maximum,basis_columns,n_rows,n_strata,compute_config,compute_cpo,model_size_mb,elapsed_seconds,DIC,effective_parameters_DIC,WAIC,effective_parameters_WAIC,CPO_valid,LPML,sensitivity_key,sensitivity_label,sensitivity_order,exposure_knot_probabilities,slice_window,model_key,specification_order,status,error_message
t2m,Temperature,lag,5,3,9.903329;17.88594;23.97438,-11.9883344,36.17892354,12,128557,29147,FALSE,FALSE,136.757850646973,11.48,144746.901261851,15.935669800383,144743.29816018,12.330116083268,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,3,lag5__t2m__lag,1,ok,
rh,Relative humidity,lag,5,3,67.01286;75.87234;84.10742,15.91384697,99.46646507,12,128557,29147,FALSE,FALSE,136.757217407227,11.03,144785.854365738,15.9817041931674,144782.164849652,12.2893677876121,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,3,lag5__rh__lag,2,ok,
ssr,Solar radiation,lag,5,3,6.827352;12.93674;18.76791,0.431284,30.307264,12,128557,29147,FALSE,FALSE,136.755973815918,9.7,144775.518070363,16.3377851373807,144771.810446324,12.6280885283373,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,3,lag5__ssr__lag,3,ok,
uv,Wind speed,lag,5,3,0.9241188;1.607715;2.485986,0.000244909,8.897020119,12,128557,29147,FALSE,FALSE,136.754722595215,10.67,144774.661044865,16.2199510814098,144771.032735146,12.5884541087246,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,3,lag5__uv__lag,4,ok,
sp,Surface pressure,lag,5,3,99.29972;100.2993;101.3742,83.56582096,104.2058729,12,128557,29147,FALSE,FALSE,136.762397766113,10.71,144767.182644908,14.6666944082826,144763.758399913,11.2400393967594,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,3,lag5__sp__lag,5,ok,
tp,Total precipitation,lag,5,3,0.002095103;0.3727108;4.375979,-3.44e-05,318.968156,12,128557,29147,FALSE,FALSE,136.760139465332,10.89,144796.692828755,14.4942807004263,144793.502645644,11.2831986991649,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,3,lag5__tp__lag,6,ok,
PM25,PM2.5,lag,5,3,27;42;64.3,2.10000003129244,404.300006024539,12,128557,29147,FALSE,FALSE,136.755554199219,10.83,144795.798930935,15.9513675745402,144792.088665851,12.2350035965489,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,3,lag5__PM25__lag,7,ok,
PM10,PM10,lag,5,3,45;68.5;102.1,4.60000006854534,626.400009334087,12,128557,29147,FALSE,FALSE,136.753463745117,10.89,144782.812354295,15.7631298194465,144779.09612467,12.0383780446763,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,3,lag5__PM10__lag,8,ok,
O3,O3,lag,5,3,58.1;84.8;114.7,3.1000000461936,332.300004951656,12,128557,29147,FALSE,FALSE,136.757369995117,10.81,144802.269133068,16.128745258553,144798.581681324,12.4379659857107,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,3,lag5__O3__lag,9,ok,
t2m,Temperature,mavg,5,3,9.901872;17.92942;23.93158,-9.7928257625,35.68524831,12,128557,29147,FALSE,FALSE,136.758850097656,10.84,144750.102340092,15.3917945033172,144746.601753394,11.8889584373833,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,4,lag5__t2m__mavg,10,ok,
rh,Relative humidity,mavg,5,3,68.35493;76.19362;82.48333,18.40329253,99.41670218,12,128557,29147,FALSE,FALSE,136.758598327637,10.72,144778.709045759,15.6172508509189,144775.119770309,12.0251539374358,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,4,lag5__rh__mavg,11,ok,
ssr,Solar radiation,mavg,5,3,8.373333;12.72749;17.46958,0.445012,29.91132,12,128557,29147,FALSE,FALSE,136.757843017578,10.89,144792.224234232,16.2727527398092,144788.522798108,12.5691421330113,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,4,lag5__ssr__mavg,12,ok,
uv,Wind speed,mavg,5,3,1.142493;1.711235;2.346749,0.000244909,8.5528143585,12,128557,29147,FALSE,FALSE,136.755630493164,10,144772.69114025,15.8419116811419,144769.122078893,12.2692142950194,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,4,lag5__uv__mavg,13,ok,
sp,Surface pressure,mavg,5,3,99.31769;100.2969;101.3795,83.56582096,104.0929507,12,128557,29147,FALSE,FALSE,136.76350402832,10.8,144765.644807415,13.9237764263526,144762.431565598,10.7083526032571,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,4,lag5__sp__mavg,14,ok,
tp,Total precipitation,mavg,5,3,0.1194354;1.71012;5.729583,-3.44e-05,224.7228056,12,128557,29147,FALSE,FALSE,136.756942749023,10.84,144801.276003601,14.3733932947798,144798.090705696,11.1774679924345,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,4,lag5__tp__mavg,15,ok,
PM25,PM2.5,mavg,5,3,28.4;42.63333;64.225,2.30000003427267,324.200004830956,12,128557,29147,FALSE,FALSE,136.755264282227,11.06,144793.007629925,15.5809036600112,144789.400292607,11.9685343454132,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,4,lag5__PM25__mavg,16,ok,
PM10,PM10,mavg,5,3,46.83333;69.8;101.4833,5.80000008642673,624.400009304285,12,128557,29147,FALSE,FALSE,136.75757598877,10.83,144786.76004126,14.9716390076792,144783.27510821,11.477929767202,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,4,lag5__PM10__mavg,17,ok,
O3,O3,mavg,5,3,60.23333;86.63333;112.3167,3.50000005215406,298.800004452467,12,128557,29147,FALSE,FALSE,136.756462097168,10.84,144800.283696993,15.8139529484906,144796.62381052,12.1508615629989,0,,lag5,Maximum lag = 5 days,1,0.25;0.5;0.75,4,lag5__O3__mavg,18,ok,
