variable,exposure_type,lag_window,sensitivity_key,sensitivity_label,sensitivity_order,exposure_probability,RR,exposure,exposure_order,window_label,window_order,contrast_label
t2m,lag,3,baseline,Primary specification,0,0.1,1.00245362366042,Temperature,1,Single lag 3,1,Exposure P10 vs P50
t2m,lag,3,lag5,Maximum lag = 5 days,1,0.1,1.03290050655725,Temperature,1,Single lag 3,1,Exposure P10 vs P50
t2m,lag,3,lag_df4,Lag spline df = 4,2,0.1,1.012743579109,Temperature,1,Single lag 3,1,Exposure P10 vs P50
t2m,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.1,0.996083992808356,Temperature,1,Single lag 3,1,Exposure P10 vs P50
rh,lag,3,baseline,Primary specification,0,0.1,0.998038868582405,Relative humidity,2,Single lag 3,1,Exposure P10 vs P50
rh,lag,3,lag5,Maximum lag = 5 days,1,0.1,0.998019100300876,Relative humidity,2,Single lag 3,1,Exposure P10 vs P50
rh,lag,3,lag_df4,Lag spline df = 4,2,0.1,0.990842363520362,Relative humidity,2,Single lag 3,1,Exposure P10 vs P50
rh,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.1,1.00294877024483,Relative humidity,2,Single lag 3,1,Exposure P10 vs P50
ssr,lag,3,baseline,Primary specification,0,0.1,0.98268744940251,Solar radiation,3,Single lag 3,1,Exposure P10 vs P50
ssr,lag,3,lag5,Maximum lag = 5 days,1,0.1,0.970883864094272,Solar radiation,3,Single lag 3,1,Exposure P10 vs P50
ssr,lag,3,lag_df4,Lag spline df = 4,2,0.1,0.970364952325032,Solar radiation,3,Single lag 3,1,Exposure P10 vs P50
ssr,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.1,0.984482521681517,Solar radiation,3,Single lag 3,1,Exposure P10 vs P50
uv,lag,3,baseline,Primary specification,0,0.1,0.993650835913956,Wind speed,4,Single lag 3,1,Exposure P10 vs P50
uv,lag,3,lag5,Maximum lag = 5 days,1,0.1,0.999985791454654,Wind speed,4,Single lag 3,1,Exposure P10 vs P50
uv,lag,3,lag_df4,Lag spline df = 4,2,0.1,0.994510625210511,Wind speed,4,Single lag 3,1,Exposure P10 vs P50
uv,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.1,0.994786652071343,Wind speed,4,Single lag 3,1,Exposure P10 vs P50
sp,lag,3,baseline,Primary specification,0,0.1,0.981665800975459,Surface pressure,5,Single lag 3,1,Exposure P10 vs P50
sp,lag,3,lag5,Maximum lag = 5 days,1,0.1,0.881958530976207,Surface pressure,5,Single lag 3,1,Exposure P10 vs P50
sp,lag,3,lag_df4,Lag spline df = 4,2,0.1,0.921369583051828,Surface pressure,5,Single lag 3,1,Exposure P10 vs P50
sp,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.1,0.98503165144253,Surface pressure,5,Single lag 3,1,Exposure P10 vs P50
tp,lag,3,baseline,Primary specification,0,0.1,1.00415669448006,Total precipitation,6,Single lag 3,1,Exposure P10 vs P50
tp,lag,3,lag5,Maximum lag = 5 days,1,0.1,0.999881370215086,Total precipitation,6,Single lag 3,1,Exposure P10 vs P50
tp,lag,3,lag_df4,Lag spline df = 4,2,0.1,1.00801002395168,Total precipitation,6,Single lag 3,1,Exposure P10 vs P50
tp,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.1,1.00401353939639,Total precipitation,6,Single lag 3,1,Exposure P10 vs P50
PM25,lag,3,baseline,Primary specification,0,0.1,0.994254869243701,PM2.5,7,Single lag 3,1,Exposure P10 vs P50
PM25,lag,3,lag5,Maximum lag = 5 days,1,0.1,0.985205725082839,PM2.5,7,Single lag 3,1,Exposure P10 vs P50
PM25,lag,3,lag_df4,Lag spline df = 4,2,0.1,0.991242538382319,PM2.5,7,Single lag 3,1,Exposure P10 vs P50
PM25,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.1,0.994305807387268,PM2.5,7,Single lag 3,1,Exposure P10 vs P50
PM10,lag,3,baseline,Primary specification,0,0.1,0.989831891530476,PM10,8,Single lag 3,1,Exposure P10 vs P50
PM10,lag,3,lag5,Maximum lag = 5 days,1,0.1,0.976413978781052,PM10,8,Single lag 3,1,Exposure P10 vs P50
PM10,lag,3,lag_df4,Lag spline df = 4,2,0.1,0.985145489546533,PM10,8,Single lag 3,1,Exposure P10 vs P50
PM10,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.1,0.991323619618515,PM10,8,Single lag 3,1,Exposure P10 vs P50
O3,lag,3,baseline,Primary specification,0,0.1,0.999269704943772,O3,9,Single lag 3,1,Exposure P10 vs P50
O3,lag,3,lag5,Maximum lag = 5 days,1,0.1,1.00218362015912,O3,9,Single lag 3,1,Exposure P10 vs P50
O3,lag,3,lag_df4,Lag spline df = 4,2,0.1,0.995981174987136,O3,9,Single lag 3,1,Exposure P10 vs P50
O3,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.1,0.99589339359521,O3,9,Single lag 3,1,Exposure P10 vs P50
t2m,lag,3,baseline,Primary specification,0,0.9,0.990420029601565,Temperature,1,Single lag 3,1,Exposure P90 vs P50
t2m,lag,3,lag5,Maximum lag = 5 days,1,0.9,0.968178646040912,Temperature,1,Single lag 3,1,Exposure P90 vs P50
t2m,lag,3,lag_df4,Lag spline df = 4,2,0.9,0.969991603981324,Temperature,1,Single lag 3,1,Exposure P90 vs P50
t2m,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.9,0.985133201169923,Temperature,1,Single lag 3,1,Exposure P90 vs P50
rh,lag,3,baseline,Primary specification,0,0.9,0.98919478208805,Relative humidity,2,Single lag 3,1,Exposure P90 vs P50
rh,lag,3,lag5,Maximum lag = 5 days,1,0.9,0.976435869732089,Relative humidity,2,Single lag 3,1,Exposure P90 vs P50
rh,lag,3,lag_df4,Lag spline df = 4,2,0.9,0.971900928482111,Relative humidity,2,Single lag 3,1,Exposure P90 vs P50
rh,lag,3,knots_p33_p66,Exposure knots = P33/P66,3,0.9,0.993537482273728,Relative humidity,2,Single lag 3,1,Exposure P90 vs P50
ssr,lag,3,baseline,Primary specification,0,0.9,0.987707066135425,Solar radiation,3,Single lag 3,1,Exposure P90 vs P50
