variable,exposure_type,lag_window,exposure_value,exposure_probability,reference_value,RR,sensitivity_key,sensitivity_label,sensitivity_order,model_key,specification_order
t2m,lag,3,0.05983816156,0.01,17.88594462,1.0182917968916,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,1.50188874532,0.02,17.88594462,1.02384560981403,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,2.39862138787,0.03,17.88594462,1.02672485219626,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,3.093038177,0.04,17.88594462,1.02862523730023,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,3.6406330109,0.05,17.88594462,1.0299096879015,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,4.131032562,0.06,17.88594462,1.03089283404722,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,4.569816844,0.07,17.88594462,1.03163397727579,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,4.975525792,0.08,17.88594462,1.03219934976497,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,5.32773191442,0.09,17.88594462,1.03259432918523,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,5.6831236519,0.1,17.88594462,1.03290050655725,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,5.9908903442,0.11,17.88594462,1.03308915017098,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,6.2784404242,0.12,17.88594462,1.03320004615521,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,6.579119619,0.13,17.88594462,1.0332473336882,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,6.87611661246,0.14,17.88594462,1.03322399957138,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,7.18746782975,0.15,17.88594462,1.03312358443131,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,7.465760803,0.16,17.88594462,1.03296701707084,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,7.710973994,0.17,17.88594462,1.0327760560844,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,7.99756210326,0.18,17.88594462,1.03248910936628,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,8.26652702953,0.19,17.88594462,1.03215649338958,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,8.523497518,0.2,17.88594462,1.03178072288926,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,8.757340336,0.21,17.88594462,1.03138896371588,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,9.01689448024,0.22,17.88594462,1.03089794269521,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,9.30727723439,0.23,17.88594462,1.03027775342969,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
t2m,lag,3,9.58446428924,0.24,17.88594462,1.0296151525849,lag5,Maximum lag = 5 days,1,lag5__t2m__lag,1
