variable,exposure,exposure_type,window,term,coefficient,coefficient_sd,RR,lower_95_CrI,upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,prior_key,prior_label,prior_order,window_label,window_order,model_key,specification_order,status,error_message
t2m,Temperature,lag,3,t2m_lag3,0.000100979689165071,0.000710338830223093,1.00010098478779,0.998708909865798,1.0014950000862,128557,29147,144790.769593382,144789.546628159,2,0.01,7.45,pc_u2,PC prior U = 2,1,Single lag 3,1,pc_u2__t2m__lag__03,1,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.0013019020996248,0.000485291578604673,0.998698945007257,0.997749026506715,0.999649767915776,128557,29147,144783.867957345,144782.643148188,2,0.01,6.17,pc_u2,PC prior U = 2,1,Single lag 3,1,pc_u2__rh__lag__03,2,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.00187009345327246,0.000800292558972942,1.00187184316857,1.00030084436114,1.00344530927394,128557,29147,144785.263935217,144784.041906912,2,0.01,6.36,pc_u2,PC prior U = 2,1,Single lag 3,1,pc_u2__ssr__lag__03,3,ok,
uv,Wind speed,lag,3,uv_lag3,-0.0233371242108367,0.0051885083628838,0.976933080457691,0.967044008184197,0.986923279173704,128557,29147,144770.54071159,144769.331568722,2,0.01,6.05,pc_u2,PC prior U = 2,1,Single lag 3,1,pc_u2__uv__lag__03,4,ok,
sp,Surface pressure,lag,3,sp_lag3,0.000368685326015959,0.002070818792946,1.0003687532988,0.996314822074679,1.00443917972911,128557,29147,144790.573319174,144789.372275219,2,0.01,6.11,pc_u2,PC prior U = 2,1,Single lag 3,1,pc_u2__sp__lag__03,5,ok,
tp,Total precipitation,lag,3,tp_lag3,-0.000344711100482664,0.000627934158079791,0.999655348305563,0.998425213570749,1.0008869986578,128557,29147,144790.510461025,144789.330213792,2,0.01,6.11,pc_u2,PC prior U = 2,1,Single lag 3,1,pc_u2__tp__lag__03,6,ok,
PM25,PM2.5,lag,3,PM25_lag3,6.22180299410849e-05,0.000180485635984949,1.00006221996552,0.999708346137373,1.00041621905788,128557,29147,144790.663630272,144789.440106538,2,0.01,6.08,pc_u2,PC prior U = 2,1,Single lag 3,1,pc_u2__PM25__lag__03,7,ok,
PM10,PM10,lag,3,PM10_lag3,0.000152264312638728,0.000128623566746705,1.00015227590544,0.999900051250446,1.00040456418529,128557,29147,144789.352968576,144788.125301391,2,0.01,6.15,pc_u2,PC prior U = 2,1,Single lag 3,1,pc_u2__PM10__lag__03,8,ok,
O3,O3,lag,3,O3_lag3,0.000236004490791801,0.000143488961549557,1.00023603234204,0.999954637896803,1.00051750597379,128557,29147,144788.026404784,144786.80979087,2,0.01,6.06,pc_u2,PC prior U = 2,1,Single lag 3,1,pc_u2__O3__lag__03,9,ok,
t2m,Temperature,mavg,4,t2m_mavg4,0.000724980816477771,0.000728808787195234,1.00072524367859,0.999296106916129,1.00215642431584,128557,29147,144789.770012857,144788.547895467,2,0.01,6.06,pc_u2,PC prior U = 2,1,Moving average 4,2,pc_u2__t2m__mavg__04,10,ok,
rh,Relative humidity,mavg,4,rh_mavg4,-0.000998701226477677,0.000614828845341629,0.999001797309616,0.99779810812893,1.00020693858821,128557,29147,144788.358207398,144787.139536098,2,0.01,6.14,pc_u2,PC prior U = 2,1,Moving average 4,2,pc_u2__rh__mavg__04,11,ok,
