variable,exposure,exposure_type,window,term,coefficient,coefficient_sd,RR,lower_95_CrI,upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,group_key,group_type,subgroup,group_order,subgroup_order,window_label,model_key,specification_order,status,error_message,exposure_IQR,RR_per_IQR,lower_95_CrI_per_IQR,upper_95_CrI_per_IQR,interval_excludes_one
O3,O3,lag,3,O3_lag3,0.000236004492980835,0.000143488968002763,1.00023603234423,0.999954637886338,1.00051750598864,128557,29147,144788.03575048,144786.818059586,3,0.01,6.25999999999999,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__O3__lag__03,9,ok,,56.6000008434055,1.01344746921575,0.997435739440508,1.02971623358975,FALSE
PM10,PM10,lag,3,PM10_lag3,0.000152264339705391,0.000128623573523048,1.00015227593251,0.999900051264227,1.00040456422567,128557,29147,144789.362314885,144788.133570522,3,0.01,6.26,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__PM10__lag__03,8,ok,,56.8000008463855,1.0086861219424,0.994338713816006,1.02324055026081,FALSE
PM25,PM2.5,lag,3,PM25_lag3,6.22180513465182e-05,0.000180485645731549,1.00006221998693,0.999708346139668,1.00041621909841,128557,29147,144790.672976012,144789.448375307,3,0.01,6.63,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__PM25__lag__03,7,ok,,37.0000005513429,1.00230471972699,0.989265265997182,1.01551604585142,FALSE
rh,Relative humidity,lag,3,rh_lag3,-0.00130190112202406,0.000485291594663579,0.998698945983586,0.997749027450768,0.999649768924586,128557,29147,144783.87730516,144782.651417476,3,0.01,6.39,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__rh__lag__03,2,ok,,17.18145366,0.977879767327221,0.96202140876049,0.993999542096982,TRUE
sp,Surface pressure,lag,3,sp_lag3,0.000368686234679003,0.00207081895321163,1.0003687542078,0.996314822667039,1.00443918095763,128557,29147,144790.582667411,144789.380545235,3,0.01,6.05,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__sp__lag__03,5,ok,,2.07363911,1.00076481451713,0.992373388227537,1.00922719813113,FALSE
ssr,Solar radiation,lag,3,ssr_lag3,0.00187009355000193,0.000800292587251958,1.00187184326549,1.00030084440244,1.00344530942665,128557,29147,144785.273281372,144784.05017573,3,0.01,6.56,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__ssr__lag__03,3,ok,,11.998729418,1.02269238875026,1.00361572873707,1.04213165666597,TRUE
t2m,Temperature,lag,3,t2m_lag3,0.000100979666907986,0.000710338880556092,1.00010098476553,0.998708909744994,1.00149500016276,128557,29147,144790.778939608,144789.554897316,3,0.01,7.46,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__t2m__lag__03,1,ok,,13.983680085,1.00141306479367,0.982096351401024,1.021109715854,FALSE
tp,Total precipitation,lag,3,tp_lag3,-0.000344711142317624,0.000627934172969252,0.999655348263742,0.998425213499827,1.00088699864514,128557,29147,144790.519805982,144789.338481891,3,0.01,6.67,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__tp__lag__03,6,ok,,4.379950403,0.99849132149464,0.993120846940689,1.00389083782473,FALSE
uv,Wind speed,lag,3,uv_lag3,-0.0233371253652307,0.00518850852923147,0.976933079329925,0.967044006752322,0.986923278356251,128557,29147,144770.550059013,144769.339838094,3,0.01,6.08,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__uv__lag__03,4,ok,,1.556368727,0.964330527684402,0.949180876095455,0.979721979232791,TRUE
O3,O3,mavg,4,O3_mavg4,0.000298486711551588,0.000166699223672892,1.00029853126314,0.999971606470053,1.00062556294,128557,29147,144787.518721897,144786.303026873,3,0.01,6.19,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__O3__mavg__04,18,ok,,50.3200007498265,1.01513321638257,0.998572237491686,1.03196885348928,FALSE
PM10,PM10,mavg,4,PM10_mavg4,0.000320637608646556,0.000144615765545557,1.00032068901838,1.00003706112295,1.00060439735839,128557,29147,144785.822463705,144784.603758396,3,0.01,6.10000000000001,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__PM10__mavg__04,17,ok,,53.1800007924439,1.01719771508257,1.00197281747545,1.03265395395563,TRUE
PM25,PM2.5,mavg,4,PM25_mavg4,0.000292836639699049,0.000201352236194199,1.00029287952053,0.999898010076554,1.00068790490512,128557,29147,144788.643221071,144787.426240566,3,0.01,6.11,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__PM25__mavg__04,16,ok,,34.8400005191564,1.01025465090136,0.996452796045385,1.02424767517209,FALSE
rh,Relative humidity,mavg,4,rh_mavg4,-0.000998700288724141,0.000614828871094822,0.999001798246433,0.997798109014317,1.00020693957676,128557,29147,144788.367555602,144787.147805889,3,0.01,6.09999999999999,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__rh__mavg__04,11,ok,,12.759896014,0.987337540358997,0.97226500037683,1.00264374284444,FALSE
sp,Surface pressure,mavg,4,sp_mavg4,-0.000608113660675651,0.00207439381315146,0.999392071202962,0.995335120334732,1.00346555811187,128557,29147,144790.802725765,144789.596109716,3,0.01,6.27,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__sp__mavg__04,14,ok,,2.05165795800001,0.998753136749447,0.99045273696248,1.00712309739477,FALSE
ssr,Solar radiation,mavg,4,ssr_mavg4,0.00250454388535785,0.00105737738888217,1.00250768287543,1.00043122464789,1.0045884509332,128557,29147,144785.098818346,144783.871918238,3,0.01,6.08,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__ssr__mavg__04,12,ok,,8.2547768,1.02088964768403,1.0035652363218,1.03851312810877,TRUE
t2m,Temperature,mavg,4,t2m_mavg4,0.000724980882642061,0.000728808841566537,1.0007252437448,0.999296106875714,1.002156424489,128557,29147,144789.779358343,144788.556163926,3,0.01,6.20999999999999,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__t2m__mavg__04,10,ok,,13.833236441,1.01007928923485,0.990306736917492,1.03024662214943,FALSE
tp,Total precipitation,mavg,4,tp_mavg4,-0.000963131353085863,0.0010174861167164,0.999037332309048,0.997046050798995,1.00103259076419,128557,29147,144789.930671919,144788.733445015,3,0.01,6.12000000000001,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__tp__mavg__04,15,ok,,5.62015891,0.994601672367551,0.983511220422546,1.00581718450084,FALSE
uv,Wind speed,mavg,4,uv_mavg4,-0.0352481675422115,0.00740836363793778,0.965365814066641,0.951443252599994,0.979492105613614,128557,29147,144768.246572364,144767.024758208,3,0.01,6.58,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__uv__mavg__04,13,ok,,1.0591970682,0.96335359323981,0.9486439056938,0.978291369316192,TRUE
O3,O3,lag,3,O3_lag3,8.2600357447168e-05,0.000206421135427733,1.00008260376895,0.999677880873848,1.00048749051653,63647,14422,71669.5470914666,71668.332492036,3,0.01,3.11000000000001,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__O3__lag__03,27,ok,,56.1000008359547,1.00464463314732,0.982088557087539,1.02771876484595,FALSE
PM10,PM10,lag,3,PM10_lag3,-2.264591246621e-05,0.000185418406379769,0.999977354343951,0.999613841560202,1.00034099932088,63647,14422,71669.7225673092,71668.4976872169,3,0.01,3.11000000000001,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__PM10__lag__03,26,ok,,56.3000008389349,0.998725847531584,0.978489797134971,1.01938039771221,FALSE
PM25,PM2.5,lag,3,PM25_lag3,-7.70687906125123e-05,0.000261602697938484,0.999922934179111,0.999410128305718,1.00043600317704,63647,14422,71669.6593595616,71668.4358878725,3,0.01,3.09,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__PM25__lag__03,25,ok,,36.6000005453825,0.997183256708096,0.978635842693447,1.01608218712149,FALSE
rh,Relative humidity,lag,3,rh_lag3,-0.000727713223491929,0.000692021296797398,0.999272551495559,0.99791747317539,1.00062946999662,63647,14422,71668.7688398437,71667.5378158711,3,0.01,3.13,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__rh__lag__03,20,ok,,17.12222233,0.987617237628,0.964934874230526,1.01083278879433,FALSE
sp,Surface pressure,lag,3,sp_lag3,-6.98793698690196e-06,0.00283087939530717,0.999993012087429,0.994457355863391,1.00555948278903,63647,14422,71669.5769973398,71668.3807214897,3,0.01,3.26000000000002,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__sp__lag__03,23,ok,,2.093064895,0.999985373901367,0.988434022580718,1.01167172070015,FALSE
ssr,Solar radiation,lag,3,ssr_lag3,0.00162354867649175,0.00113008091230215,1.00162486734519,0.999407747541752,1.00384690569557,63647,14422,71667.6043611534,71666.3829211292,3,0.01,3.09999999999999,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__ssr__lag__03,21,ok,,12.27478,1.0201286051444,0.992754454203045,1.04825756943464,FALSE
t2m,Temperature,lag,3,t2m_lag3,-0.000170385170494512,0.000999918319650181,0.999829629344234,0.997871143405819,1.0017919591299,63647,14422,71669.709861415,71668.4917610368,3,0.01,3.10999999999999,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__t2m__lag__03,19,ok,,14.132692335,0.997594895716107,0.970330498231569,1.02562536963591,FALSE
tp,Total precipitation,lag,3,tp_lag3,-0.000960973213351465,0.000902323074130604,0.999039488373537,0.997273384711211,1.00080871968147,63647,14422,71668.6323579957,71667.4468159414,3,0.01,3.09,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__tp__lag__03,24,ok,,4.4753268105,0.995708565448726,0.987855190240106,1.00362437438559,FALSE
uv,Wind speed,lag,3,uv_lag3,-0.023235736554814,0.00740351235129939,0.97703213443415,0.962950481007647,0.991319710003543,63647,14422,71659.9423719925,71658.7304870536,3,0.01,3.13,Age__Age <6,Age,Age <6,2,1,Single lag 3,g02_s01__uv__lag__03,22,ok,,1.554431001,0.964526135800727,0.943003877465145,0.986539598263758,TRUE
O3,O3,mavg,4,O3_mavg4,8.96479392139576e-05,0.000240691732885792,1.00008965195771,0.999617748398722,1.00056177829541,63647,14422,71669.5668279813,71668.3547571104,3,0.01,3.22,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__O3__mavg__04,36,ok,,49.2600007340311,1.00442582270283,0.981342924814812,1.02805167065496,FALSE
PM10,PM10,mavg,4,PM10_mavg4,0.000109901176600617,0.000208580723466521,1.00010990721596,0.999700939793173,1.00051904194695,63647,14422,71669.4234701545,71668.207224498,3,0.01,3.5,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__PM10__mavg__04,35,ok,,52.7400007858872,1.00581301854044,0.98434897593075,1.02774509163559,FALSE
PM25,PM2.5,mavg,4,PM25_mavg4,0.000123519931187553,0.000291573487697825,1.00012352756009,0.9995518736791,1.00069550837963,63647,14422,71669.5291602769,71668.311528899,3,0.01,3.10999999999999,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__PM25__mavg__04,34,ok,,34.5000005140901,1.00427053052666,0.984655127549191,1.02427669384073,FALSE
rh,Relative humidity,mavg,4,rh_mavg4,-0.000220662401496416,0.000877950676098067,0.999779361942661,0.99805964838548,1.00150203880556,63647,14422,71669.7068958811,71668.4872697645,3,0.01,3.09,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__rh__mavg__04,29,ok,,12.73341855,0.997194157039625,0.975572002547337,1.01929553741339,FALSE
sp,Surface pressure,mavg,4,sp_mavg4,-0.000621687726562706,0.00283822623008689,0.999378505481212,0.993831933310831,1.00495603322519,63647,14422,71669.6994479443,71668.500622364,3,0.01,3.13,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__sp__mavg__04,32,ok,,2.07437044999999,0.998711220541361,0.987247532635104,1.01030802248235,FALSE
ssr,Solar radiation,mavg,4,ssr_mavg4,0.0012637598162622,0.00149055121364218,1.00126455869719,0.998342312210779,1.00419535891509,63647,14422,71668.962713432,71667.7403672047,3,0.01,3.11000000000001,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__ssr__mavg__04,30,ok,,8.4171740411,1.01069406338915,0.98613242874933,1.03586745575517,FALSE
t2m,Temperature,mavg,4,t2m_mavg4,0.000294876996524003,0.00102595205040546,1.00029492047702,0.998284559832705,1.0023093296297,63647,14422,71669.6341544738,71668.4162548904,3,0.01,3.15000000000001,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__t2m__mavg__04,28,ok,,13.9045221334,1.00410854073174,0.976409844699971,1.03259299077324,FALSE
tp,Total precipitation,mavg,4,tp_mavg4,-0.000843346960020174,0.00144902119310848,0.999157008557079,0.996322046482453,1.00200003729635,63647,14422,71669.4145950624,71668.2119446883,3,0.01,3.07999999999998,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__tp__mavg__04,33,ok,,5.6887582663,0.995213893095988,0.979256606498625,1.01143120848874,FALSE
uv,Wind speed,mavg,4,uv_mavg4,-0.0244651357577092,0.0104375357521035,0.975831709958516,0.956062388246615,0.996009818552129,63647,14422,71664.3515441851,71663.1312531714,3,0.01,3.12,Age__Age <6,Age,Age <6,2,1,Moving average 4,g02_s01__uv__mavg__04,31,ok,,1.074826418,0.974046949009959,0.952853400056944,0.9957118886051,TRUE
O3,O3,lag,3,O3_lag3,0.000370501718145569,0.000199616430320904,1.00037057036238,0.999979073914981,1.00076222008381,64910,14725,73126.8562066512,73125.6387040189,3,0.01,3.30000000000001,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__O3__lag__03,45,ok,,57.1000008508563,1.02138101560864,0.998805821624522,1.04446645838439,FALSE
PM10,PM10,lag,3,PM10_lag3,0.000312034933392941,0.000178544267101806,1.00031208362136,0.999961928061903,1.00066236180314,64910,14725,73127.2726258258,73126.0429693896,3,0.01,3.25,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__PM10__lag__03,44,ok,,57.5000008568172,1.01810393374893,0.997813216356238,1.03880726717684,FALSE
PM25,PM2.5,lag,3,PM25_lag3,0.000184620697936558,0.000249249767033264,1.00018463774139,0.999695912871908,1.00067360154322,64910,14725,73129.8151311526,73128.5919945034,3,0.01,3.25,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__PM25__lag__03,43,ok,,37.4750005584211,1.00694264998414,0.988667306006381,1.02555581082706,FALSE
rh,Relative humidity,lag,3,rh_lag3,-0.00188946082951918,0.000679850999450543,0.998112323077876,0.996782605778948,0.999443814336386,64910,14725,73123.0596370577,73121.8407207505,3,0.01,3.25999999999999,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__rh__lag__03,38,ok,,17.2570008675,0.967919431419562,0.945905994988489,0.990445173590534,TRUE
sp,Surface pressure,lag,3,sp_lag3,-0.000520076970450657,0.00290187756632544,0.999480058246135,0.993808873510036,1.00518360588432,64910,14725,73130.3460441269,73129.152201409,3,0.01,3.34999999999999,Age__Age >=6,Age,Age >=6,2,2,Single lag 3,g02_s02__sp__lag__03,41,ok,,2.05319067000001,0.998932752730485,0.987329874769337,1.01067198551758,FALSE
