variable,exposure,exposure_type,window,term,coefficient,coefficient_sd,RR,lower_95_CrI,upper_95_CrI,n_rows,n_strata,DIC,WAIC,pc_prior_U,pc_prior_alpha,elapsed_seconds,group_key,group_type,subgroup,group_order,subgroup_order,window_label,model_key,specification_order,status,error_message
t2m,Temperature,lag,3,t2m_lag3,0.000100979666907986,0.000710338880556092,1.00010098476553,0.998708909744994,1.00149500016276,128557,29147,144790.778939608,144789.554897316,3,0.01,7.46,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__t2m__lag__03,1,ok,
rh,Relative humidity,lag,3,rh_lag3,-0.00130190112202406,0.000485291594663579,0.998698945983586,0.997749027450768,0.999649768924586,128557,29147,144783.87730516,144782.651417476,3,0.01,6.39,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__rh__lag__03,2,ok,
ssr,Solar radiation,lag,3,ssr_lag3,0.00187009355000193,0.000800292587251958,1.00187184326549,1.00030084440244,1.00344530942665,128557,29147,144785.273281372,144784.05017573,3,0.01,6.56,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__ssr__lag__03,3,ok,
uv,Wind speed,lag,3,uv_lag3,-0.0233371253652307,0.00518850852923147,0.976933079329925,0.967044006752322,0.986923278356251,128557,29147,144770.550059013,144769.339838094,3,0.01,6.08,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__uv__lag__03,4,ok,
sp,Surface pressure,lag,3,sp_lag3,0.000368686234679003,0.00207081895321163,1.0003687542078,0.996314822667039,1.00443918095763,128557,29147,144790.582667411,144789.380545235,3,0.01,6.05,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__sp__lag__03,5,ok,
tp,Total precipitation,lag,3,tp_lag3,-0.000344711142317624,0.000627934172969252,0.999655348263742,0.998425213499827,1.00088699864514,128557,29147,144790.519805982,144789.338481891,3,0.01,6.67,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__tp__lag__03,6,ok,
PM25,PM2.5,lag,3,PM25_lag3,6.22180513465182e-05,0.000180485645731549,1.00006221998693,0.999708346139668,1.00041621909841,128557,29147,144790.672976012,144789.448375307,3,0.01,6.63,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__PM25__lag__03,7,ok,
PM10,PM10,lag,3,PM10_lag3,0.000152264339705391,0.000128623573523048,1.00015227593251,0.999900051264227,1.00040456422567,128557,29147,144789.362314885,144788.133570522,3,0.01,6.26,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__PM10__lag__03,8,ok,
O3,O3,lag,3,O3_lag3,0.000236004492980835,0.000143488968002763,1.00023603234423,0.999954637886338,1.00051750598864,128557,29147,144788.03575048,144786.818059586,3,0.01,6.25999999999999,Overall__Overall,Overall,Overall,1,1,Single lag 3,g01_s01__O3__lag__03,9,ok,
t2m,Temperature,mavg,4,t2m_mavg4,0.000724980882642061,0.000728808841566537,1.0007252437448,0.999296106875714,1.002156424489,128557,29147,144789.779358343,144788.556163926,3,0.01,6.20999999999999,Overall__Overall,Overall,Overall,1,1,Moving average 4,g01_s01__t2m__mavg__04,10,ok,
